ride_id,started_at,ended_at,start_station_id,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
7C1C6F71708C48E0,2023-11-27 17:39:37,2023-11-27 17:43:09,4765.07,4735.03,40.69812,-73.90271,40.69811,-73.90904,member
C49DB4D15AE51D58,2023-11-27 17:04:06,2023-11-27 17:07:40,4765.07,4735.03,40.69812,-73.90271,40.69811,-73.90904,member
B8F54CD93A8DE451,2023-11-03 17:40:43,2023-11-03 17:45:44,6331.01,6551.11,40.749153376,-73.992015839,40.75354681867074,-73.97896572947502,member
121094AFF97D6730,2023-11-10 18:56:53,2023-11-10 19:01:25,6331.01,6551.11,40.748454809,-73.992211461,40.75354681867074,-73.97896572947502,member
2CD49DE26EEDF33D,2023-11-17 04:13:50,2023-11-17 04:25:15,5187.03,4994.10,40.71164763,-73.951420784,40.70413,-73.90737,member
F9B53C7BCDF48FD6,2023-11-24 17:50:04,2023-11-24 18:11:38,4010.13,5114.08,40.674922824,-73.971209168,40.709957,-74.016538,member
B7906708DB5AD7C4,2023-11-22 19:30:00,2023-11-22 19:58:22,6659.01,5532.01,40.757224083,-73.972245455,40.72362738,-73.99949601,member
BA0B48400432D546,2023-11-21 15:20:15,2023-11-21 15:26:10,3263.01,3256.04,40.64958,-73.96316,40.64796,-73.9556,member
A36C95ED584582B4,2023-11-10 17:26:18,2023-11-10 17:34:11,6331.01,6551.11,40.749101758,-73.991574645,40.75354681867074,-73.97896572947502,member
50D2E3A6C4087A63,2023-11-04 16:15:39,2023-11-04 16:27:32,6860.12,6551.11,40.764939308,-73.962630868,40.75354681867074,-73.97896572947502,member
100FB2571046128F,2023-11-02 21:48:26,2023-11-02 21:56:44,6331.01,5914.08,40.749156,-73.9916,40.735238,-74.000271,member
F05FF2FE2B95BC8F,2023-11-06 15:50:34,2023-11-06 16:02:50,6860.12,6462.19,40.76471851944339,-73.96222069859505,40.751047,-73.93797,member
EF1E4B5415936A7F,2023-11-28 19:14:30,2023-11-28 19:15:34,3943.03,4016.03,40.67113,-73.94222,40.67308,-73.94191,member
6E7D56AD8A7F929A,2023-11-04 18:03:46,2023-11-04 18:19:31,5190.09,5190.07,40.711471394469264,-73.98672603070736,40.71269042,-73.98776323,member
